match_id,competition,season,date,kickoff_time,kickoff_datetime,stage_raw,stage,stage_order,matchday,group,leg,is_qualifier,neutral,home_team_id,away_team_id,home_team,away_team,home_team_raw,away_team_raw,home_country_code,away_country_code,home_goals,away_goals,home_goals_final,away_goals_final,home_goals_ht,away_goals_ht,home_penalty,away_penalty,decided_by,result,total_goals,goal_diff,btts,home_elo_pre,away_elo_pre,elo_diff_pre,home_matches_before,away_matches_before,score_raw,source_file,source_line,source_commit
UCL-2011-12-M-0013,UEFA Champions League,2011-12,2011-09-14,20:45,2011-09-14T20:45:00,Group C,group_stage,3,,C,not_applicable,0,0,ucl-fc-basel-1893,ucl-otelul-galati,FC Basel 1893,Oţelul Galaţi,FC Basel 1893,Oţelul Galaţi,SUI,ROU,2,1,2,1,1,0,,,Normal Time,H,3,1,1,1500.0,1500.0,65.0,0,0,2-1 (1-0),2011-12/cl.txt,53,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0014,UEFA Champions League,2011-12,2011-09-14,20:45,2011-09-14T20:45:00,Group C,group_stage,3,,C,not_applicable,0,0,ucl-benfica,ucl-manchester-united,Benfica,Manchester United,SL Benfica,Manchester United,POR,ENG,1,1,1,1,1,1,,,Normal Time,D,2,0,1,1500.0,1500.0,65.0,0,0,1-1 (1-1),2011-12/cl.txt,54,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0015,UEFA Champions League,2011-12,2011-09-14,20:45,2011-09-14T20:45:00,Group D,group_stage,3,,D,not_applicable,0,0,ucl-afc-ajax,ucl-olympique-lyonnais,AFC Ajax,Olympique Lyonnais,AFC Ajax,Olympique Lyonnais,NED,FRA,0,0,0,0,,,,,Normal Time,D,0,0,0,1500.0,1500.0,65.0,0,0,0-0,2011-12/cl.txt,74,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0016,UEFA Champions League,2011-12,2011-09-14,20:45,2011-09-14T20:45:00,Group D,group_stage,3,,D,not_applicable,0,0,ucl-dinamo-zagreb,ucl-real-madrid,Dinamo Zagreb,Real Madrid,Dinamo Zagreb,Real Madrid,CRO,ESP,0,1,0,1,0,0,,,Normal Time,A,1,-1,0,1500.0,1500.0,65.0,0,0,0-1 (0-0),2011-12/cl.txt,75,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0017,UEFA Champions League,2011-12,2011-09-27,18:00,2011-09-27T18:00:00,Group B,group_stage,3,,B,not_applicable,0,0,ucl-cska-moskva,ucl-inter-milan,CSKA Moskva,Inter Milan,CSKA Moskva,Inter,RUS,ITA,2,3,2,3,1,2,,,Normal Time,A,5,-1,1,1501.85,1488.15,78.7,1,1,2-3 (1-2),2011-12/cl.txt,35,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0018,UEFA Champions League,2011-12,2011-09-27,20:45,2011-09-27T20:45:00,Group A,group_stage,3,,A,not_applicable,0,0,ucl-bayern-munich,ucl-manchester-city,Bayern Munich,Manchester City,Bayern München,Manchester City,GER,ENG,2,0,2,0,2,0,,,Normal Time,H,2,2,0,1511.85,1498.15,78.7,1,1,2-0 (2-0),2011-12/cl.txt,14,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0019,UEFA Champions League,2011-12,2011-09-27,20:45,2011-09-27T20:45:00,Group A,group_stage,3,,A,not_applicable,0,0,ucl-ssc-napoli,ucl-villarreal-cf,SSC Napoli,Villarreal CF,SSC Napoli,Villarreal CF,ITA,ESP,2,0,2,0,2,0,,,Normal Time,H,2,2,0,1501.85,1488.15,78.7,1,1,2-0 (2-0),2011-12/cl.txt,15,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0020,UEFA Champions League,2011-12,2011-09-27,20:45,2011-09-27T20:45:00,Group B,group_stage,3,,B,not_applicable,0,0,ucl-trabzonspor,ucl-lille-osc,Trabzonspor,Lille OSC,Trabzonspor,Lille OSC,TUR,FRA,1,1,1,1,0,1,,,Normal Time,D,2,0,1,1511.85,1498.15,78.7,1,1,1-1 (0-1),2011-12/cl.txt,36,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0021,UEFA Champions League,2011-12,2011-09-27,20:45,2011-09-27T20:45:00,Group C,group_stage,3,,C,not_applicable,0,0,ucl-manchester-united,ucl-fc-basel-1893,Manchester United,FC Basel 1893,Manchester United,FC Basel 1893,ENG,SUI,3,3,3,3,2,0,,,Normal Time,D,6,0,1,1501.85,1508.15,58.7,1,1,3-3 (2-0),2011-12/cl.txt,56,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
UCL-2011-12-M-0022,UEFA Champions League,2011-12,2011-09-27,20:45,2011-09-27T20:45:00,Group C,group_stage,3,,C,not_applicable,0,0,ucl-otelul-galati,ucl-benfica,Oţelul Galaţi,Benfica,Oţelul Galaţi,SL Benfica,ROU,POR,0,1,0,1,0,1,,,Normal Time,A,1,-1,0,1491.85,1498.15,58.7,1,1,0-1 (0-1),2011-12/cl.txt,57,abfaeddc2ee3d14f99ecc163c9ddb46cb4d67cef
