raw_name,canonical_name,team_id,association_code
KF Drita,KF Drita,ucl-kf-drita,KOS
KF Shkëndija 79,KF Shkëndija 79,ucl-kf-shkendija-79,MKD
KRC Genk,KRC Genk,ucl-krc-genk,BEL
Kuopion PS,Kuopion PS,ucl-kuopion-ps,FIN
KÍ Klaksvík,KÍ Klaksvík,ucl-ki-klaksvik,FRO
Larne FC,Larne FC,ucl-larne-fc,NIR
Lazio Roma,Lazio,ucl-lazio,ITA
SS Lazio,Lazio,ucl-lazio,ITA
Lech Poznań,Lech Poznań,ucl-lech-poznan,POL
Legia Warszawa,Legia Warszawa,ucl-legia-warszawa,POL
Leicester City,Leicester City,ucl-leicester-city,ENG
Lille OSC,Lille OSC,ucl-lille-osc,FRA
Lincoln Red Imps,Lincoln Red Imps,ucl-lincoln-red-imps,GIB
Linfield FC,Linfield FC,ucl-linfield-fc,NIR
Liverpool FC,Liverpool FC,ucl-liverpool-fc,ENG
Lokomotiv Moskva,Lokomotiv Moskva,ucl-lokomotiv-moskva,RUS
Maccabi Haifa,Maccabi Haifa,ucl-maccabi-haifa,ISR
Maccabi Tel Aviv,Maccabi Tel Aviv,ucl-maccabi-tel-aviv,ISR
Malmö FF,Malmö FF,ucl-malmo-ff,SWE
Manchester City,Manchester City,ucl-manchester-city,ENG
Manchester City FC,Manchester City,ucl-manchester-city,ENG
Manchester United,Manchester United,ucl-manchester-united,ENG
Manchester United FC,Manchester United,ucl-manchester-united,ENG
Montpellier HSC,Montpellier HSC,ucl-montpellier-hsc,FRA
Málaga CF,Málaga CF,ucl-malaga-cf,ESP
NK Celje,NK Celje,ucl-nk-celje,SVN
NK Maribor,NK Maribor,ucl-nk-maribor,SVN
Newcastle United FC,Newcastle United FC,ucl-newcastle-united-fc,ENG
OGC Nice,OGC Nice,ucl-ogc-nice,FRA
Olimpija Ljubljana,Olimpija Ljubljana,ucl-olimpija-ljubljana,SVN
Olympiakos Piraeus,Olympiacos,ucl-olympiacos,GRE
PAE Olympiakos SFP,Olympiacos,ucl-olympiacos,GRE
Olympique Lyonnais,Olympique Lyonnais,ucl-olympique-lyonnais,FRA
Olympique Marseille,Olympique Marseille,ucl-olympique-marseille,FRA
Olympique de Marseille,Olympique Marseille,ucl-olympique-marseille,FRA
Oţelul Galaţi,Oţelul Galaţi,ucl-otelul-galati,ROU
PAOK Saloniki,PAOK Saloniki,ucl-paok-saloniki,GRE
PFC Ludogorets Razgrad,PFC Ludogorets Razgrad,ucl-pfc-ludogorets-razgrad,BUL
PSV,PSV Eindhoven,ucl-psv-eindhoven,NED
PSV Eindhoven,PSV Eindhoven,ucl-psv-eindhoven,NED
Pafos FC,Pafos FC,ucl-pafos-fc,CYP
Paphos FC,Pafos FC,ucl-pafos-fc,CYP
Panathinaikos,Panathinaikos,ucl-panathinaikos,GRE
Paris Saint-Germain,Paris Saint-Germain,ucl-paris-saint-germain,FRA
Paris Saint-Germain FC,Paris Saint-Germain,ucl-paris-saint-germain,FRA
Partizan,Partizan,ucl-partizan,SRB
Pyunik FC,Pyunik FC,ucl-pyunik-fc,ARM
Qarabağ Ağdam FK,Qarabağ FK,ucl-qarabag-fk,AZE
Qarabağ FK,Qarabağ FK,ucl-qarabag-fk,AZE
RB Leipzig,RB Leipzig,ucl-rb-leipzig,GER
FC Red Bull Salzburg,RB Salzburg,ucl-rb-salzburg,AUT
RB Salzburg,RB Salzburg,ucl-rb-salzburg,AUT
RSC Anderlecht,RSC Anderlecht,ucl-rsc-anderlecht,BEL
Racing Club de Lens,Racing Club de Lens,ucl-racing-club-de-lens,FRA
Rangers FC,Rangers FC,ucl-rangers-fc,SCO
Real Madrid,Real Madrid,ucl-real-madrid,ESP
Real Madrid CF,Real Madrid,ucl-real-madrid,ESP
Real Sociedad,Real Sociedad,ucl-real-sociedad,ESP
Real Sociedad de Fútbol,Real Sociedad,ucl-real-sociedad,ESP
Royal Antwerp FC,Royal Antwerp FC,ucl-royal-antwerp-fc,BEL
SK Brann,SK Brann,ucl-sk-brann,NOR
SS Virtus,SS Virtus,ucl-ss-virtus,SMR
SSC Napoli,SSC Napoli,ucl-ssc-napoli,ITA
Servette FC,Servette FC,ucl-servette-fc,SUI
