home_team,away_team,home_goals,away_goals,date,year,stage,decided_by,home_penalty,away_penalty,stage_order,result,total_goals,goal_diff,btts,attendance
Italy,Austria,2,1,1998-06-23,1998,Group stage,Normal Time,,,0.0,H,3,1,1,30791.0
Chile,Cameroon,1,1,1998-06-23,1998,Group stage,Normal Time,,,0.0,D,2,0,1,42907.0
Brazil,Norway,1,2,1998-06-23,1998,Group stage,Normal Time,,,0.0,A,3,-1,1,73303.0
Scotland,Morocco,0,3,1998-06-23,1998,Group stage,Normal Time,,,0.0,A,3,-3,0,73780.0
South Africa,Saudi Arabia,2,2,1998-06-24,1998,Group stage,Normal Time,,,0.0,D,4,0,1,114600.0
France,Denmark,2,1,1998-06-24,1998,Group stage,Normal Time,,,0.0,H,3,1,1,21000.0
Spain,Bulgaria,6,1,1998-06-24,1998,Group stage,Normal Time,,,0.0,H,7,5,1,45000.0
Nigeria,Paraguay,1,3,1998-06-24,1998,Group stage,Normal Time,,,0.0,A,4,-2,1,114500.0
Netherlands,Mexico,2,2,1998-06-25,1998,Group stage,Normal Time,,,0.0,D,4,0,1,114580.0
Belgium,Korea Republic,1,1,1998-06-25,1998,Group stage,Normal Time,,,0.0,D,2,0,1,45000.0
United States,Fr Yugoslavia,0,1,1998-06-25,1998,Group stage,Normal Time,,,0.0,A,1,-1,0,65000.0
Germany,Iran,2,0,1998-06-25,1998,Group stage,Normal Time,,,0.0,H,2,2,0,41700.0
Argentina,Croatia,1,0,1998-06-26,1998,Group stage,Normal Time,,,0.0,H,1,1,0,98728.0
Japan,Jamaica,1,2,1998-06-26,1998,Group stage,Normal Time,,,0.0,A,3,-1,1,38500.0
Romania,Tunisia,1,1,1998-06-26,1998,Group stage,Normal Time,,,0.0,D,2,0,1,70000.0
Colombia,England,0,2,1998-06-26,1998,Group stage,Normal Time,,,0.0,A,2,-2,0,19800.0
Italy,Norway,1,0,1998-06-27,1998,Round of 16,Normal Time,,,2.0,H,1,1,0,45000.0
Brazil,Chile,4,1,1998-06-27,1998,Round of 16,Normal Time,,,2.0,H,5,3,1,26000.0
France,Paraguay,1,0,1998-06-28,1998,Round of 16,Normal Time,,,2.0,H,1,1,0,114580.0
Nigeria,Denmark,1,4,1998-06-28,1998,Round of 16,Normal Time,,,2.0,A,5,-3,1,32277.0
Germany,Mexico,2,1,1998-06-29,1998,Round of 16,Normal Time,,,2.0,H,3,1,1,20000.0
Netherlands,Fr Yugoslavia,2,1,1998-06-29,1998,Round of 16,Normal Time,,,2.0,H,3,1,1,36000.0
Romania,Croatia,0,1,1998-06-30,1998,Round of 16,Normal Time,,,2.0,A,1,-1,0,23980.0
Argentina,England,2,2,1998-06-30,1998,Round of 16,Normal Time,4.0,3.0,2.0,D,4,0,1,51000.0
Italy,France,0,0,1998-07-03,1998,Quarter-finals,Normal Time,3.0,4.0,0.0,D,0,0,0,16000.0
Brazil,Denmark,3,2,1998-07-03,1998,Quarter-finals,Normal Time,,,0.0,H,5,1,1,103763.0
Netherlands,Argentina,2,1,1998-07-04,1998,Quarter-finals,Normal Time,,,0.0,H,3,1,1,22700.0
Germany,Croatia,0,3,1998-07-04,1998,Quarter-finals,Normal Time,,,0.0,A,3,-3,0,28000.0
Brazil,Netherlands,1,1,1998-07-07,1998,Semi-finals,Normal Time,4.0,2.0,0.0,D,2,0,1,65000.0
France,Croatia,2,1,1998-07-08,1998,Semi-finals,Normal Time,,,0.0,H,3,1,1,20000.0
Netherlands,Croatia,1,2,1998-07-11,1998,Third-place match,Normal Time,,,0.0,A,3,-1,1,14200.0
Brazil,France,0,3,1998-07-12,1998,Final,Normal Time,,,6.0,A,3,-3,0,31420.0
France,Senegal,0,1,2002-05-31,2002,Group stage,Normal Time,,,0.0,A,1,-1,0,30000.0
Republic of Ireland,Cameroon,1,1,2002-06-01,2002,Group stage,Normal Time,,,0.0,D,2,0,1,20000.0
Uruguay,Denmark,1,2,2002-06-01,2002,Group stage,Normal Time,,,0.0,A,3,-1,1,26500.0
Germany,Saudi Arabia,8,0,2002-06-01,2002,Group stage,Normal Time,,,0.0,H,8,8,0,114600.0
Argentina,Nigeria,1,0,2002-06-02,2002,Group stage,Normal Time,,,0.0,H,1,1,0,28000.0
Paraguay,South Africa,2,2,2002-06-02,2002,Group stage,Normal Time,,,0.0,D,4,0,1,19915.0
England,Sweden,1,1,2002-06-02,2002,Group stage,Normal Time,,,0.0,D,2,0,1,48000.0
Spain,Slovenia,3,1,2002-06-02,2002,Group stage,Normal Time,,,0.0,H,4,2,1,13800.0
Croatia,Mexico,0,1,2002-06-03,2002,Group stage,Normal Time,,,0.0,A,1,-1,0,20200.0
Brazil,Turkey,2,1,2002-06-03,2002,Group stage,Normal Time,,,0.0,H,3,1,1,32000.0
Italy,Ecuador,2,0,2002-06-03,2002,Group stage,Normal Time,,,0.0,H,2,2,0,36540.0
China,Costa Rica,0,2,2002-06-04,2002,Group stage,Normal Time,,,0.0,A,2,-2,0,45000.0
Japan,Belgium,2,2,2002-06-04,2002,Group stage,Normal Time,,,0.0,D,4,0,1,24000.0
Korea Republic,Poland,2,0,2002-06-04,2002,Group stage,Normal Time,,,0.0,H,2,2,0,30500.0
Russia,Tunisia,2,0,2002-06-05,2002,Group stage,Normal Time,,,0.0,H,2,2,0,18000.0
United States,Portugal,3,2,2002-06-05,2002,Group stage,Normal Time,,,0.0,H,5,1,1,110000.0
Germany,Republic of Ireland,1,1,2002-06-05,2002,Group stage,Normal Time,,,0.0,D,2,0,1,22000.0
Denmark,Senegal,1,1,2002-06-06,2002,Group stage,Normal Time,,,0.0,D,2,0,1,23000.0
Cameroon,Saudi Arabia,1,0,2002-06-06,2002,Group stage,Normal Time,,,0.0,H,1,1,0,16500.0
France,Uruguay,0,0,2002-06-06,2002,Group stage,Normal Time,,,0.0,D,0,0,0,60000.0
Sweden,Nigeria,2,1,2002-06-07,2002,Group stage,Normal Time,,,0.0,H,3,1,1,19900.0
Spain,Paraguay,3,1,2002-06-07,2002,Group stage,Normal Time,,,0.0,H,4,2,1,35748.0
Argentina,England,0,1,2002-06-07,2002,Group stage,Normal Time,,,0.0,A,1,-1,0,65500.0
South Africa,Slovenia,1,0,2002-06-08,2002,Group stage,Normal Time,,,0.0,H,1,1,0,96000.0
Italy,Croatia,1,2,2002-06-08,2002,Group stage,Normal Time,,,0.0,A,3,-1,1,90000.0
Brazil,China,4,0,2002-06-08,2002,Group stage,Normal Time,,,0.0,H,4,4,0,28000.0
Mexico,Ecuador,2,1,2002-06-09,2002,Group stage,Normal Time,,,0.0,H,3,1,1,50000.0
Costa Rica,Turkey,1,1,2002-06-09,2002,Group stage,Normal Time,,,0.0,D,2,0,1,70000.0
Japan,Russia,1,0,2002-06-09,2002,Group stage,Normal Time,,,0.0,H,1,1,0,44000.0
Korea Republic,United States,1,1,2002-06-10,2002,Group stage,Normal Time,,,0.0,D,2,0,1,75000.0
Tunisia,Belgium,1,1,2002-06-10,2002,Group stage,Normal Time,,,0.0,D,2,0,1,37000.0
Portugal,Poland,4,0,2002-06-10,2002,Group stage,Normal Time,,,0.0,H,4,4,0,65000.0
Denmark,France,2,0,2002-06-11,2002,Group stage,Normal Time,,,0.0,H,2,2,0,44000.0
Senegal,Uruguay,3,3,2002-06-11,2002,Group stage,Normal Time,,,0.0,D,6,0,1,90089.0
Saudi Arabia,Republic of Ireland,0,3,2002-06-11,2002,Group stage,Normal Time,,,0.0,A,3,-3,0,20000.0
Cameroon,Germany,0,2,2002-06-11,2002,Group stage,Normal Time,,,0.0,A,2,-2,0,45000.0
Sweden,Argentina,1,1,2002-06-12,2002,Group stage,Normal Time,,,0.0,D,2,0,1,43000.0
Nigeria,England,0,0,2002-06-12,2002,Group stage,Normal Time,,,0.0,D,0,0,0,75000.0
South Africa,Spain,2,3,2002-06-12,2002,Group stage,Normal Time,,,0.0,A,5,-1,1,37000.0
Slovenia,Paraguay,1,3,2002-06-12,2002,Group stage,Normal Time,,,0.0,A,4,-2,1,65000.0
Costa Rica,Brazil,2,5,2002-06-13,2002,Group stage,Normal Time,,,0.0,A,7,-3,1,39700.0
Turkey,China,3,0,2002-06-13,2002,Group stage,Normal Time,,,0.0,H,3,3,0,41000.0
Mexico,Italy,1,1,2002-06-13,2002,Group stage,Normal Time,,,0.0,D,2,0,1,49562.0
Ecuador,Croatia,1,0,2002-06-13,2002,Group stage,Normal Time,,,0.0,H,1,1,0,28000.0
Tunisia,Japan,0,2,2002-06-14,2002,Group stage,Normal Time,,,0.0,A,2,-2,0,16000.0
Belgium,Russia,3,2,2002-06-14,2002,Group stage,Normal Time,,,0.0,H,5,1,1,25000.0
Portugal,Korea Republic,0,1,2002-06-14,2002,Group stage,Normal Time,,,0.0,A,1,-1,0,20000.0
Poland,United States,3,1,2002-06-14,2002,Group stage,Normal Time,,,0.0,H,4,2,1,32500.0
Germany,Paraguay,1,0,2002-06-15,2002,Round of 16,Normal Time,,,2.0,H,1,1,0,43000.0
Denmark,England,0,3,2002-06-15,2002,Round of 16,Normal Time,,,2.0,A,3,-3,0,25000.0
Sweden,Senegal,1,2,2002-06-16,2002,Round of 16,Normal Time,,,2.0,A,3,-1,1,37000.0
Spain,Republic of Ireland,1,1,2002-06-16,2002,Round of 16,Normal Time,3.0,2.0,2.0,D,2,0,1,45000.0
Mexico,United States,0,2,2002-06-17,2002,Round of 16,Normal Time,,,2.0,A,2,-2,0,22000.0
Brazil,Belgium,2,0,2002-06-17,2002,Round of 16,Normal Time,,,2.0,H,2,2,0,30043.0
Japan,Turkey,0,1,2002-06-18,2002,Round of 16,Normal Time,,,2.0,A,1,-1,0,15000.0
Korea Republic,Italy,2,1,2002-06-18,2002,Round of 16,Normal Time,,,2.0,H,3,1,1,42000.0
England,Brazil,1,2,2002-06-21,2002,Quarter-finals,Normal Time,,,0.0,A,3,-1,1,41123.0
Germany,United States,1,0,2002-06-21,2002,Quarter-finals,Normal Time,,,0.0,H,1,1,0,48000.0
Spain,Korea Republic,0,0,2002-06-22,2002,Quarter-finals,Normal Time,3.0,5.0,0.0,D,0,0,0,19000.0
Senegal,Turkey,0,1,2002-06-22,2002,Quarter-finals,Normal Time,,,0.0,A,1,-1,0,19000.0
Germany,Korea Republic,1,0,2002-06-25,2002,Semi-finals,Normal Time,,,0.0,H,1,1,0,15000.0
Brazil,Turkey,1,0,2002-06-26,2002,Semi-finals,Normal Time,,,0.0,H,1,1,0,25000.0
Korea Republic,Turkey,2,3,2002-06-29,2002,Third-place match,Normal Time,,,0.0,A,5,-1,1,47379.0
Germany,Brazil,0,2,2002-06-30,2002,Final,Normal Time,,,6.0,A,2,-2,0,32093.0
Germany,Costa Rica,4,2,2006-06-09,2006,Group stage,Normal Time,,,0.0,H,6,2,1,22500.0
Poland,Ecuador,0,2,2006-06-09,2006,Group stage,Normal Time,,,0.0,A,2,-2,0,25000.0
England,Paraguay,1,0,2006-06-10,2006,Group stage,Normal Time,,,0.0,H,1,1,0,25000.0
Trinidad and Tobago,Sweden,0,0,2006-06-10,2006,Group stage,Normal Time,,,0.0,D,0,0,0,44172.0
Argentina,Ivory Coast,2,1,2006-06-10,2006,Group stage,Normal Time,,,0.0,H,3,1,1,42000.0
Serbia and Montenegro,Netherlands,0,1,2006-06-11,2006,Group stage,Normal Time,,,0.0,A,1,-1,0,49562.0
Mexico,Iran,3,1,2006-06-11,2006,Group stage,Normal Time,,,0.0,H,4,2,1,11000.0
Angola,Portugal,0,1,2006-06-11,2006,Group stage,Normal Time,,,0.0,A,1,-1,0,23000.0
Australia,Japan,3,1,2006-06-12,2006,Group stage,Normal Time,,,0.0,H,4,2,1,36000.0
United States,Czech Republic,0,3,2006-06-12,2006,Group stage,Normal Time,,,0.0,A,3,-3,0,33000.0
Italy,Ghana,2,0,2006-06-12,2006,Group stage,Normal Time,,,0.0,H,2,2,0,68000.0
Korea Republic,Togo,2,1,2006-06-13,2006,Group stage,Normal Time,,,0.0,H,3,1,1,95000.0
France,Switzerland,0,0,2006-06-13,2006,Group stage,Normal Time,,,0.0,D,0,0,0,71483.0
Brazil,Croatia,1,0,2006-06-13,2006,Group stage,Normal Time,,,0.0,H,1,1,0,69659.0
Spain,Ukraine,4,0,2006-06-14,2006,Group stage,Normal Time,,,0.0,H,4,4,0,67433.0
Tunisia,Saudi Arabia,2,2,2006-06-14,2006,Group stage,Normal Time,,,0.0,D,4,0,1,38318.0
Germany,Poland,1,0,2006-06-14,2006,Group stage,Normal Time,,,0.0,H,1,1,0,39586.0
Ecuador,Costa Rica,3,0,2006-06-15,2006,Group stage,Normal Time,,,0.0,H,3,3,0,37315.0
England,Trinidad and Tobago,2,0,2006-06-15,2006,Group stage,Normal Time,,,0.0,H,2,2,0,35288.0
Sweden,Paraguay,1,0,2006-06-15,2006,Group stage,Normal Time,,,0.0,H,1,1,0,40750.0
Argentina,Serbia and Montenegro,6,0,2006-06-16,2006,Group stage,Normal Time,,,0.0,H,6,6,0,66695.0
Netherlands,Ivory Coast,2,1,2006-06-16,2006,Group stage,Normal Time,,,0.0,H,3,1,1,37326.0
Mexico,Angola,0,0,2006-06-16,2006,Group stage,Normal Time,,,0.0,D,0,0,0,25050.0
Portugal,Iran,2,0,2006-06-17,2006,Group stage,Normal Time,,,0.0,H,2,2,0,67547.0
Czech Republic,Ghana,0,2,2006-06-17,2006,Group stage,Normal Time,,,0.0,A,2,-2,0,31278.0
Italy,United States,1,1,2006-06-17,2006,Group stage,Normal Time,,,0.0,D,2,0,1,37091.0
Japan,Croatia,0,0,2006-06-18,2006,Group stage,Normal Time,,,0.0,D,0,0,0,35221.0
Brazil,Australia,2,0,2006-06-18,2006,Group stage,Normal Time,,,0.0,H,2,2,0,42132.0
France,Korea Republic,1,1,2006-06-18,2006,Group stage,Normal Time,,,0.0,D,2,0,1,21262.0
Togo,Switzerland,0,2,2006-06-19,2006,Group stage,Normal Time,,,0.0,A,2,-2,0,35130.0
Saudi Arabia,Ukraine,0,4,2006-06-19,2006,Group stage,Normal Time,,,0.0,A,4,-4,0,23127.0
Spain,Tunisia,3,1,2006-06-19,2006,Group stage,Normal Time,,,0.0,H,4,2,1,22651.0
Costa Rica,Poland,1,2,2006-06-20,2006,Group stage,Normal Time,,,0.0,A,3,-1,1,30667.0
Ecuador,Germany,0,3,2006-06-20,2006,Group stage,Normal Time,,,0.0,A,3,-3,0,71712.0
Paraguay,Trinidad and Tobago,2,0,2006-06-20,2006,Group stage,Normal Time,,,0.0,H,2,2,0,41424.0
Sweden,England,2,2,2006-06-20,2006,Group stage,Normal Time,,,0.0,D,4,0,1,34771.0
Portugal,Mexico,2,1,2006-06-21,2006,Group stage,Normal Time,,,0.0,H,3,1,1,28125.0
Iran,Angola,1,1,2006-06-21,2006,Group stage,Normal Time,,,0.0,D,2,0,1,7938.0
Ivory Coast,Serbia and Montenegro,3,2,2006-06-21,2006,Group stage,Normal Time,,,0.0,H,5,1,1,26533.0
Netherlands,Argentina,0,0,2006-06-21,2006,Group stage,Normal Time,,,0.0,D,0,0,0,35258.0
Ghana,United States,2,1,2006-06-22,2006,Group stage,Normal Time,,,0.0,H,3,1,1,9624.0
Czech Republic,Italy,0,2,2006-06-22,2006,Group stage,Normal Time,,,0.0,A,2,-2,0,71666.0
Japan,Brazil,1,4,2006-06-22,2006,Group stage,Normal Time,,,0.0,A,5,-3,1,32569.0
Croatia,Australia,2,2,2006-06-22,2006,Group stage,Normal Time,,,0.0,D,4,0,1,40841.0
Saudi Arabia,Spain,0,1,2006-06-23,2006,Group stage,Normal Time,,,0.0,A,1,-1,0,37927.0
Ukraine,Tunisia,1,0,2006-06-23,2006,Group stage,Normal Time,,,0.0,H,1,1,0,33431.0
Togo,France,0,2,2006-06-23,2006,Group stage,Normal Time,,,0.0,A,2,-2,0,42373.0
Switzerland,Korea Republic,2,0,2006-06-23,2006,Group stage,Normal Time,,,0.0,H,2,2,0,17396.0
Germany,Sweden,2,0,2006-06-24,2006,Round of 16,Normal Time,,,2.0,H,2,2,0,71615.0
Argentina,Mexico,2,1,2006-06-24,2006,Round of 16,Normal Time,,,2.0,H,3,1,1,67579.0
England,Ecuador,1,0,2006-06-25,2006,Round of 16,Normal Time,,,2.0,H,1,1,0,78200.0
Portugal,Netherlands,1,0,2006-06-25,2006,Round of 16,Normal Time,,,2.0,H,1,1,0,77100.0
Italy,Australia,1,0,2006-06-26,2006,Round of 16,Normal Time,,,2.0,H,1,1,0,62000.0
Switzerland,Ukraine,0,0,2006-06-26,2006,Round of 16,Normal Time,0.0,3.0,2.0,D,0,0,0,53700.0
Brazil,Ghana,3,0,2006-06-27,2006,Round of 16,Normal Time,,,2.0,H,3,3,0,54254.0
Spain,France,1,3,2006-06-27,2006,Round of 16,Normal Time,,,2.0,A,4,-2,1,41300.0
Germany,Argentina,1,1,2006-06-30,2006,Quarter-finals,Normal Time,4.0,2.0,0.0,D,2,0,1,58000.0
Italy,Ukraine,3,0,2006-06-30,2006,Quarter-finals,Normal Time,,,0.0,H,3,3,0,39400.0
England,Portugal,0,0,2006-07-01,2006,Quarter-finals,Normal Time,1.0,3.0,0.0,D,0,0,0,68348.0
Brazil,France,0,1,2006-07-01,2006,Quarter-finals,Normal Time,,,0.0,A,1,-1,0,67800.0
Germany,Italy,0,2,2006-07-04,2006,Semi-finals,Normal Time,,,0.0,A,2,-2,0,67385.0
Portugal,France,0,1,2006-07-05,2006,Semi-finals,Normal Time,,,0.0,A,1,-1,0,59863.0
Germany,Portugal,3,1,2006-07-08,2006,Third-place match,Normal Time,,,0.0,H,4,2,1,44955.0
Italy,France,1,1,2006-07-09,2006,Final,Normal Time,5.0,3.0,6.0,D,2,0,1,56548.0
South Africa,Mexico,1,1,2010-06-11,2010,Group stage,Normal Time,,,0.0,D,2,0,1,53300.0
Uruguay,France,0,0,2010-06-11,2010,Group stage,Normal Time,,,0.0,D,0,0,0,70100.0
Korea Republic,Greece,2,0,2010-06-12,2010,Group stage,Normal Time,,,0.0,H,2,2,0,28300.0
Argentina,Nigeria,1,0,2010-06-12,2010,Group stage,Normal Time,,,0.0,H,1,1,0,25900.0
England,United States,1,1,2010-06-12,2010,Group stage,Normal Time,,,0.0,D,2,0,1,56000.0
Algeria,Slovenia,0,1,2010-06-13,2010,Group stage,Normal Time,,,0.0,A,1,-1,0,17400.0
Serbia,Ghana,0,1,2010-06-13,2010,Group stage,Normal Time,,,0.0,A,1,-1,0,36200.0
Germany,Australia,4,0,2010-06-13,2010,Group stage,Normal Time,,,0.0,H,4,4,0,60200.0
Netherlands,Denmark,2,0,2010-06-14,2010,Group stage,Normal Time,,,0.0,H,2,2,0,25300.0
Japan,Cameroon,1,0,2010-06-14,2010,Group stage,Normal Time,,,0.0,H,1,1,0,13400.0
Italy,Paraguay,1,1,2010-06-14,2010,Group stage,Normal Time,,,0.0,D,2,0,1,53700.0
New Zealand,Slovakia,1,1,2010-06-15,2010,Group stage,Normal Time,,,0.0,D,2,0,1,70100.0
Ivory Coast,Portugal,0,0,2010-06-15,2010,Group stage,Normal Time,,,0.0,D,0,0,0,53300.0
Brazil,Korea Dpr,2,1,2010-06-15,2010,Group stage,Normal Time,,,0.0,H,3,1,1,31700.0
Honduras,Chile,0,1,2010-06-16,2010,Group stage,Normal Time,,,0.0,A,1,-1,0,28300.0
Spain,Switzerland,0,1,2010-06-16,2010,Group stage,Normal Time,,,0.0,A,1,-1,0,62000.0
South Africa,Uruguay,0,3,2010-06-16,2010,Group stage,Normal Time,,,0.0,A,3,-3,0,55100.0
Argentina,Korea Republic,4,1,2010-06-17,2010,Group stage,Normal Time,,,0.0,H,5,3,1,23800.0
Greece,Nigeria,2,1,2010-06-17,2010,Group stage,Normal Time,,,0.0,H,3,1,1,53000.0
France,Mexico,0,2,2010-06-17,2010,Group stage,Normal Time,,,0.0,A,2,-2,0,32700.0
Germany,Serbia,0,1,2010-06-18,2010,Group stage,Normal Time,,,0.0,A,1,-1,0,81100.0
Slovenia,United States,2,2,2010-06-18,2010,Group stage,Normal Time,,,0.0,D,4,0,1,17000.0
England,Algeria,0,0,2010-06-18,2010,Group stage,Normal Time,,,0.0,D,0,0,0,27000.0
Netherlands,Japan,1,0,2010-06-19,2010,Group stage,Normal Time,,,0.0,H,1,1,0,62000.0
Ghana,Australia,1,1,2010-06-19,2010,Group stage,Normal Time,,,0.0,D,2,0,1,107412.0
Cameroon,Denmark,1,2,2010-06-19,2010,Group stage,Normal Time,,,0.0,A,3,-1,1,104403.0
Slovakia,Paraguay,0,2,2010-06-20,2010,Group stage,Normal Time,,,0.0,A,2,-2,0,102444.0
Italy,New Zealand,1,1,2010-06-20,2010,Group stage,Normal Time,,,0.0,D,2,0,1,51261.0
Brazil,Ivory Coast,3,1,2010-06-20,2010,Group stage,Normal Time,,,0.0,H,4,2,1,54233.0
Portugal,Korea Dpr,7,0,2010-06-21,2010,Group stage,Normal Time,,,0.0,H,7,7,0,26851.0
Chile,Switzerland,1,0,2010-06-21,2010,Group stage,Normal Time,,,0.0,H,1,1,0,26085.0
Spain,Honduras,2,0,2010-06-21,2010,Group stage,Normal Time,,,0.0,H,2,2,0,23357.0
Mexico,Uruguay,0,1,2010-06-22,2010,Group stage,Normal Time,,,0.0,A,1,-1,0,108192.0
France,South Africa,1,2,2010-06-22,2010,Group stage,Normal Time,,,0.0,A,3,-1,1,9890.0
Nigeria,Korea Republic,2,2,2010-06-22,2010,Group stage,Normal Time,,,0.0,D,4,0,1,12299.0
Greece,Argentina,0,2,2010-06-22,2010,Group stage,Normal Time,,,0.0,A,2,-2,0,49292.0
Slovenia,England,0,1,2010-06-23,2010,Group stage,Normal Time,,,0.0,A,1,-1,0,17875.0
United States,Algeria,1,0,2010-06-23,2010,Group stage,Normal Time,,,0.0,H,1,1,0,50804.0
Ghana,Germany,0,1,2010-06-23,2010,Group stage,Normal Time,,,0.0,A,1,-1,0,18163.0
Australia,Serbia,2,1,2010-06-23,2010,Group stage,Normal Time,,,0.0,H,3,1,1,89979.0
Paraguay,New Zealand,0,0,2010-06-24,2010,Group stage,Normal Time,,,0.0,D,0,0,0,103058.0
Slovakia,Italy,3,2,2010-06-24,2010,Group stage,Normal Time,,,0.0,H,5,1,1,66843.0
Denmark,Japan,1,3,2010-06-24,2010,Group stage,Normal Time,,,0.0,A,4,-2,1,12710.0
Cameroon,Netherlands,1,2,2010-06-24,2010,Group stage,Normal Time,,,0.0,A,3,-1,1,9624.0
Portugal,Brazil,0,0,2010-06-25,2010,Group stage,Normal Time,,,0.0,D,0,0,0,56818.0
Korea Dpr,Ivory Coast,0,3,2010-06-25,2010,Group stage,Normal Time,,,0.0,A,3,-3,0,29968.0
Chile,Spain,1,2,2010-06-25,2010,Group stage,Normal Time,,,0.0,A,3,-1,1,95261.0
Switzerland,Honduras,0,0,2010-06-25,2010,Group stage,Normal Time,,,0.0,D,0,0,0,13537.0
Uruguay,Korea Republic,2,1,2010-06-26,2010,Round of 16,Normal Time,,,2.0,H,3,1,1,92205.0
United States,Ghana,1,2,2010-06-26,2010,Round of 16,Normal Time,,,2.0,A,3,-1,1,52897.0
Germany,England,4,1,2010-06-27,2010,Round of 16,Normal Time,,,2.0,H,5,3,1,13433.0
Argentina,Mexico,3,1,2010-06-27,2010,Round of 16,Normal Time,,,2.0,H,4,2,1,12942.0
Netherlands,Slovakia,2,1,2010-06-28,2010,Round of 16,Normal Time,,,2.0,H,3,1,1,50560.0
Brazil,Chile,3,0,2010-06-28,2010,Round of 16,Normal Time,,,2.0,H,3,3,0,13765.0
Paraguay,Japan,0,0,2010-06-29,2010,Round of 16,Normal Time,5.0,3.0,2.0,D,0,0,0,20654.0
Spain,Portugal,1,0,2010-06-29,2010,Round of 16,Normal Time,,,2.0,H,1,1,0,107160.0
Netherlands,Brazil,2,1,2010-07-02,2010,Quarter-finals,Normal Time,,,0.0,H,3,1,1,96924.0
Uruguay,Ghana,1,1,2010-07-02,2010,Quarter-finals,Normal Time,4.0,2.0,0.0,D,2,0,1,87696.0
Argentina,Germany,0,4,2010-07-03,2010,Quarter-finals,Normal Time,,,0.0,A,4,-4,0,94493.0
Paraguay,Spain,0,1,2010-07-03,2010,Quarter-finals,Normal Time,,,0.0,A,1,-1,0,38273.0
Uruguay,Netherlands,2,3,2010-07-06,2010,Semi-finals,Normal Time,,,0.0,A,5,-1,1,40248.0
Germany,Spain,0,1,2010-07-07,2010,Semi-finals,Normal Time,,,0.0,A,1,-1,0,90584.0
Uruguay,Germany,2,3,2010-07-10,2010,Third-place match,Normal Time,,,0.0,A,5,-1,1,26844.0
Netherlands,Spain,0,1,2010-07-11,2010,Final,Normal Time,,,6.0,A,1,-1,0,40007.0
Brazil,Croatia,3,1,2014-06-12,2014,Group stage,Normal Time,,,0.0,H,4,2,1,98270.0
Mexico,Cameroon,1,0,2014-06-13,2014,Group stage,Normal Time,,,0.0,H,1,1,0,24129.0
Spain,Netherlands,1,5,2014-06-13,2014,Group stage,Normal Time,,,0.0,A,6,-4,1,42187.0
Chile,Australia,3,1,2014-06-13,2014,Group stage,Normal Time,,,0.0,H,4,2,1,16027.0
Colombia,Greece,3,0,2014-06-14,2014,Group stage,Normal Time,,,0.0,H,3,3,0,61112.0
Uruguay,Costa Rica,1,3,2014-06-14,2014,Group stage,Normal Time,,,0.0,A,4,-2,1,32127.0
England,Italy,1,2,2014-06-14,2014,Group stage,Normal Time,,,0.0,A,3,-1,1,58479.0
Ivory Coast,Japan,2,1,2014-06-14,2014,Group stage,Normal Time,,,0.0,H,3,1,1,17829.0
Switzerland,Ecuador,2,1,2014-06-15,2014,Group stage,Normal Time,,,0.0,H,3,1,1,46587.0
France,Honduras,3,0,2014-06-15,2014,Group stage,Normal Time,,,0.0,H,3,3,0,27793.0
Argentina,Bosnia and Herzegovina,2,1,2014-06-15,2014,Group stage,Normal Time,,,0.0,H,3,1,1,25438.0
Germany,Portugal,4,0,2014-06-16,2014,Group stage,Normal Time,,,0.0,H,4,4,0,92570.0
Iran,Nigeria,0,0,2014-06-16,2014,Group stage,Normal Time,,,0.0,D,0,0,0,32028.0
Ghana,United States,1,2,2014-06-16,2014,Group stage,Normal Time,,,0.0,A,3,-1,1,45662.0
Belgium,Algeria,2,1,2014-06-17,2014,Group stage,Normal Time,,,0.0,H,3,1,1,51387.0
Brazil,Mexico,0,0,2014-06-17,2014,Group stage,Normal Time,,,0.0,D,0,0,0,13792.0
Russia,Korea Republic,1,1,2014-06-17,2014,Group stage,Normal Time,,,0.0,D,2,0,1,42738.0
Australia,Netherlands,2,3,2014-06-18,2014,Group stage,Normal Time,,,0.0,A,5,-1,1,69237.0
Spain,Chile,0,2,2014-06-18,2014,Group stage,Normal Time,,,0.0,A,2,-2,0,27199.0
Cameroon,Croatia,0,4,2014-06-18,2014,Group stage,Normal Time,,,0.0,A,4,-4,0,29886.0
Colombia,Ivory Coast,2,1,2014-06-19,2014,Group stage,Normal Time,,,0.0,H,3,1,1,47308.0
Uruguay,England,2,1,2014-06-19,2014,Group stage,Normal Time,,,0.0,H,3,1,1,23006.0
Japan,Greece,0,0,2014-06-19,2014,Group stage,Normal Time,,,0.0,D,0,0,0,36127.0
Italy,Costa Rica,0,1,2014-06-20,2014,Group stage,Normal Time,,,0.0,A,1,-1,0,87148.0
Switzerland,France,2,5,2014-06-20,2014,Group stage,Normal Time,,,0.0,A,7,-3,1,68679.0
Honduras,Ecuador,1,2,2014-06-20,2014,Group stage,Normal Time,,,0.0,A,3,-1,1,66697.0
Argentina,Iran,1,0,2014-06-21,2014,Group stage,Normal Time,,,0.0,H,1,1,0,76594.0
Germany,Ghana,2,2,2014-06-21,2014,Group stage,Normal Time,,,0.0,D,4,0,1,5890.0
Nigeria,Bosnia and Herzegovina,1,0,2014-06-21,2014,Group stage,Normal Time,,,0.0,H,1,1,0,17268.0
